Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
6/19/2020,6,2020,202.556,203.194,198.268005,200.179993,200.179993,43398500
6/22/2020,6,2020,199.990005,201.776001,198.003998,198.863998,198.863998,31812000
6/23/2020,6,2020,199.776001,202.399994,198.802002,200.356003,200.356003,31826500
6/24/2020,6,2020,198.822006,200.175995,190.628006,192.169998,192.169998,54798000
6/25/2020,6,2020,190.854004,197.195999,187.429993,197.195999,197.195999,46272500
6/26/2020,6,2020,198.955994,199,190.973999,191.947998,191.947998,44274500
6/29/2020,6,2020,193.802002,202,189.703995,201.869995,201.869995,45132000
6/30/2020,6,2020,201.300003,217.537994,200.746002,215.962006,215.962006,84592500
7/1/2020,7,2020,216.600006,227.065994,216.100006,223.925995,223.925995,66634500
7/2/2020,7,2020,244.296005,245.600006,237.119995,241.731995,241.731995,86250500
7/6/2020,7,2020,255.337997,275.558014,253.207993,274.31601,274.31601,102849500
7/7/2020,7,2020,281.002014,285.899994,267.34201,277.971985,277.971985,107448500
7/8/2020,7,2020,281,283.451996,262.268005,273.175995,273.175995,81556500
7/9/2020,7,2020,279.39801,281.712006,270.256012,278.855988,278.855988,58588000
7/10/2020,7,2020,279.200012,309.783997,275.201996,308.929993,308.929993,116688000
7/13/2020,7,2020,331.799988,358.997986,294.221985,299.411987,299.411987,194927000
7/14/2020,7,2020,311.200012,318,286.200012,303.359985,303.359985,117090500
7/15/2020,7,2020,308.600006,310,291.399994,309.201996,309.201996,81839000
7/16/2020,7,2020,295.432007,306.34201,293.200012,300.127991,300.127991,71504000
7/17/2020,7,2020,302.690002,307.502014,298,300.167999,300.167999,46650000
7/20/2020,7,2020,303.802002,330,297.600006,328.600006,328.600006,85607000
7/21/2020,7,2020,327.985992,335,311.600006,313.671997,313.671997,80536000
7/22/2020,7,2020,319.799988,325.283997,312.399994,318.466003,318.466003,70805500
7/23/2020,7,2020,335.790009,337.799988,296.153992,302.614014,302.614014,121642500
7/24/2020,7,2020,283.201996,293,273.308014,283.399994,283.399994,96983000
7/27/2020,7,2020,287,309.588013,282.600006,307.920013,307.920013,80243500
7/28/2020,7,2020,300.799988,312.940002,294.884003,295.298004,295.298004,79043500
7/29/2020,7,2020,300.200012,306.962006,297.399994,299.821991,299.821991,47134500
7/30/2020,7,2020,297.600006,302.64801,294.200012,297.497986,297.497986,38105000
7/31/2020,7,2020,303,303.410004,284.196014,286.152008,286.152008,61041000
8/3/2020,8,2020,289.839996,301.962006,288.876007,297,297,44046500
8/4/2020,8,2020,299.002014,305.481995,292.399994,297.399994,297.399994,42075000
8/5/2020,8,2020,298.597992,299.967987,293.661987,297.003998,297.003998,24739000
8/6/2020,8,2020,298.165985,303.462006,295.451996,297.915985,297.915985,29961500
8/7/2020,8,2020,299.90799,299.950012,283.002014,290.541992,290.541992,44482000
8/10/2020,8,2020,289.600006,291.5,277.167999,283.713989,283.713989,37611500
8/11/2020,8,2020,279.200012,284,273,274.877991,274.877991,43129000
8/12/2020,8,2020,294,317,287,310.951996,310.951996,109147000
8/13/2020,8,2020,322.200012,330.235992,313.451996,324.200012,324.200012,102126500
8/14/2020,8,2020,332.997986,333.76001,325.328003,330.141998,330.141998,62888000
8/17/2020,8,2020,335.399994,369.171997,334.56601,367.127991,367.127991,101211500
8/18/2020,8,2020,379.798004,384.779999,369.022003,377.417999,377.417999,82372500
8/19/2020,8,2020,373,382.200012,368.242004,375.705994,375.705994,61026500
8/20/2020,8,2020,372.135986,404.39801,371.411987,400.365997,400.365997,103059000
8/21/2020,8,2020,408.951996,419.097992,405.01001,409.996002,409.996002,107448000
8/24/2020,8,2020,425.256012,425.799988,385.503998,402.839996,402.839996,100318000
8/25/2020,8,2020,394.977997,405.589996,393.600006,404.667999,404.667999,53294500
8/26/2020,8,2020,412,433.200012,410.726013,430.634003,430.634003,71197000
8/27/2020,8,2020,436.09201,459.119995,428.5,447.75,447.75,118465000
8/28/2020,8,2020,459.023987,463.697998,437.303986,442.679993,442.679993,100406000
8/31/2020,8,2020,444.609985,500.140015,440.109985,498.320007,498.320007,118374400
9/1/2020,9,2020,502.140015,502.48999,470.51001,475.049988,475.049988,89841100
